75414.78,75414.78,74239.05,74239.05
73099.41,73099.41,74074.07,74074.07
74019.25,74019.25,74906.37,74906.37
73800.73,73800.73,73583.52,73583.52
74962.52,74962.52,73746.31,73746.31
76394.20,76394.20,74850.30,74850.30
75815.01,75815.01,76335.88,76335.88
75930.14,75930.14,74460.16,74460.16
75872.54,75872.54,74738.41,74738.41
76277.65,76277.65,75244.55,75244.55
75872.54,75872.54,73421.44,73421.44
74239.05,74239.05,74571.22,74571.22
75872.54,75872.54,75357.95,75357.95
47984.64,47984.64,47641.73,47641.73
20973.15,20973.15,20263.42,20263.42
16178.61,16178.61,15800.28,15800.28
13250.30,13250.30,12850.17,12850.17
76103.50,76103.50,78431.38,78431.38
