75414.78,75414.78,75528.70,74239.05,74239.05,74404.77
73099.41,73099.41,74626.87,74074.07,74074.07,73964.50
74019.25,74019.25,75585.79,74906.37,74906.37,72780.20
73800.73,73800.73,74906.37,73583.52,73583.52,74460.16
74962.52,74962.52,75930.14,73746.31,73746.31,73691.97
76394.20,76394.20,75528.70,74850.30,74850.30,74738.41
75815.01,75815.01,76511.09,76335.88,76335.88,74404.77
75930.14,75930.14,76219.51,74460.16,74460.16,75471.70
75872.54,75872.54,76394.20,74738.41,74738.41,74128.98
76277.65,76277.65,75700.23,75244.55,75244.55,73909.83
75872.54,75872.54,76687.12,73421.44,73421.44,75528.70
74239.05,74239.05,73475.39,74571.22,74571.22,73260.07
75872.54,75872.54,74794.31,75357.95,75357.95,74404.77
47984.64,47984.64,48685.49,47641.73,47641.73,47869.79
20973.15,20973.15,20995.17,20263.42,20263.42,19876.76
16178.61,16178.61,16220.60,15800.28,15800.28,15676.44
13250.30,13250.30,13410.22,12850.17,12850.17,12725.88
76103.50,76103.50,78616.35,78431.38,78431.38,76628.36
