77639.75,78678.20,80580.17,81037.28,81566.07,81300.81,83333.33,80256.82,79491.26,81168.83
80128.20,81433.22,83682.01,77881.62,77220.08,80000.00,79872.20,82304.52,81499.59,78554.59
80775.45,82576.38,82918.74,81103.00,80321.28,80450.52,80321.28,80064.05,79051.38,80515.30
78616.35,83892.62,79051.38,81833.06,79239.30,79176.56,80971.66,80840.74,81499.59,80064.05
80385.85,81366.97,82236.84,79808.46,81234.77,80128.20,79617.83,79554.50,81433.22,78864.35
80064.05,80775.45,81566.07,81900.09,83472.46,81103.00,80580.17,81766.15,83542.19,80450.52
78308.54,80064.05,79176.56,80515.30,80906.16,80128.20,80775.45,82781.46,82644.62,79681.27
79617.83,81967.21,81499.59,82440.23,80645.16,79176.56,81967.21,81168.83,82644.62,80580.17
80580.17,80971.66,79936.05,81103.00,80775.45,78554.59,81766.15,80971.66,81234.77,80971.66
81900.09,82440.23,79491.26,81566.07,80000.00,80128.20,79239.30,81366.97,81900.09,81499.59
78802.20,82169.27,82304.52,80128.20,80775.45,82101.80,81168.83,81833.06,80971.66,80775.45
76982.29,82576.38,83194.67,81234.77,82034.45,79365.08,79491.26,79365.08,83194.67,78740.16
78247.26,82850.04,81632.65,80645.16,79744.82,79428.12,81300.81,78678.20,82034.45,81103.00
50813.01,54406.96,54377.38,54824.56,52328.62,53276.50,52110.47,52356.02,53248.14,53705.69
23707.92,23843.59,23713.54,23618.33,24125.45,23674.24,23651.84,24009.60,23912.00,23353.57
17550.02,17914.73,17546.94,17599.44,17739.93,17686.59,17911.52,17528.48,17825.31,16969.29
13877.33,13993.84,13904.34,13869.62,13904.34,13844.66,14499.06,13861.93,13883.10,13574.05
81234.77,84817.64,83056.48,83612.04,81499.59,84530.86,83822.30,84889.65,83125.52,83682.01
